,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
3890,WTG-J,-0.831751168,-0.834839344,-0.795190632,-0.803928018,-0.937754691,-0.935983181,1191.494263,-3278.5,1085.037476,1256112,64.43807983,-3.700000048,10.24663925,OnLine,28.72186279,20.94287109,38.68466187,69.04137421,9.601101875,151.8256073,7.719289303,7.101893902,0.763333738
4034,WTG-J,8.014076233,8.558487892,7.427863121,7.196717739,9.865120888,9.690486908,2771.537109,-3278.5,2481.370605,1285220,63.77535629,-3.700000048,13.44234943,OnLine,30.89009476,24.10603714,43.86040497,87.92372894,7.94962883,110.0449753,340.5479736,11.2722578,0.505498528
4178,WTG-J,5.949232578,6.138711452,6.603634834,6.495610714,7.082801819,7.189106464,1376.000732,-3278.5,1832.687866,1325399,64.52694702,-3.700000048,13.23063755,OnLine,31.07885742,23.90530777,44.29999924,88.64699554,11.89758778,224.9654541,313.0618591,7.458184719,6.938140869
4322,WTG-J,9.543395042,9.539902687,9.572753906,9.581995964,9.570585251,9.538910866,2819.741699,-3278.5,2561.615234,1380660,67.5,-3.700000048,13.50133228,OnLine,34.4380455,26.11651421,45.98964691,88.91362,7.102837086,109.6389999,332.2536621,12.62033558,1.253662109
4466,WTG-J,1.681754231,1.36762929,1.696679831,1.398281097,1.563701272,1.278654337,135.4660797,-3278.5,110.060257,1410768,59.21573639,-3.700000048,7.472350597,OnLine,29.35313606,22.77160263,38.75634003,50.991642,13.57563114,62.69025421,141.8290863,3.658938885,10.1709137
4610,WTG-J,-0.771589518,-0.750902653,-0.747101724,-0.689895153,-0.875057518,-1.122044086,382.3943787,-3278.5,773.4478149,1412734,61.37432861,-3.700000048,9.191742897,OnLine,30.20135117,22.09339714,36.68748474,62.10527039,12.46737194,14.85060978,302,4.910711765,0
4754,WTG-J,0.620072842,0.659313023,0.655623794,0.689813972,0.546984136,0.57033813,2009.954102,-3278.5,2190.01416,1437811,65.60379791,-3.700000048,13.14060497,OnLine,33.79999924,25.95480537,44.59563065,86.80570984,10.08104324,252.9546204,309.5562134,8.66086483,8.443786621
4898,WTG-J,11.42241192,11.56817627,11.47568321,11.59980297,11.34563541,11.48147297,2820,-3278.5,2807.857422,1497115,68.0308609,-3.700000048,13.5621109,OnLine,38.36633301,29.95321465,48.74637604,87.87605286,6.720243931,145.0311584,337.6699829,13.434659,2.66998291
5042,WTG-J,7.370288372,7.417494774,7.406963348,7.44814682,7.283327103,7.328519821,21.63937759,-3278.5,-11.22896862,1538141,53.81972122,-3.700000048,3.727956057,RunUp,32.51581955,27.69633484,38.53989029,23.5687561,11.05340576,28.99517059,21.49316406,2.233384371,39.50683594
5186,WTG-J,3.81663084,3.773188114,3.844362259,3.803839922,3.724463463,3.684213161,2410.159424,-3278.5,2839.024902,1558676,65.36335754,-3.700000048,13.50330639,OnLine,28.16232491,18.86327362,41.53546524,89.02876282,9.344083786,84.36401367,257.3141174,9.574055672,3.933673143
5330,WTG-J,6.093951702,5.950005531,6.119418144,5.980657578,6.002907276,5.861031055,2440.877686,-3278.5,2859.9646,1615948,68,-3.700000048,13.54216385,OnLine,36.71133041,27.82449532,45.55113983,88.77420044,9.284463882,176.0527496,316,9.693047523,3
5474,WTG-J,8.206363678,8.232555389,8.238529205,8.263207436,8.121130943,8.143580437,2817.79126,-3278.5,2797.986816,1675233,67.09999847,-3.700000048,13.41598034,OnLine,28.09711456,18.82657623,40.53553772,89.97507477,6.784087658,178.6096649,128.4147797,13.19318295,0.298940182
5618,WTG-J,9.589202881,9.595245361,9.61774826,9.62590313,9.49406147,9.506296158,2815.413086,-3278.5,2839.770996,1732562,69.61186981,-3.700000048,13.56611538,OnLine,46.94530106,19.80412102,44.31230164,89.8846817,7.303333282,137.5914001,114.6016006,12.26201916,2.398399353
5762,WTG-J,1.197845697,0.841218591,1.208619118,0.871870399,1.104451656,0.752243698,215.9558105,-3278.5,148.6147156,1784835,62.09833527,-3.700000048,7.501804352,OnLine,43.06525803,19.32219315,42.39071655,51.90869141,12.14708042,19.85035706,179.9696045,4.108026028,4.969604492
5906,WTG-J,1.641469002,1.5483042,1.664660692,1.578956008,1.533787012,1.459329247,125.4295578,-3278.5,87.9511261,1793463,60.56431961,-3.700000048,7.510519028,OnLine,43.13092804,23.85946274,41.10220337,51.97392654,13.69353962,20.29774094,-2.096363544,3.632516146,5.096363544
6050,WTG-J,-0.252548486,-0.208981797,0.048255354,0.050151981,-0.164635226,-0.097020485,1973.748413,-3278.5,2011.891235,1835625,67.37602997,-3.700000048,12.691535,OnLine,52.25199127,16.83612442,44.03876877,82.03381348,9.699554443,176.943573,216.8724976,8.591901779,2.380460739
9362,WTG-J,27.36220932,27.74365807,27.79821014,27.3548069,27.26239777,27.65468216,2819.378174,-3278.5,-25.6833725,1864060,57.85347366,-3.700000048,7.876947403,RunUp,51.51995468,20.76543808,33.32118225,53.43065262,4.178850174,119.6850204,338,12.58761883,0.051881477
